,FacilityID,TicketID,AutonomousTransportID,Cost,CurrencyType
601,601,,,45.0,€
602,602,,,80.0,€
603,603,,,700.0,€
604,604,,,140.0,€
605,605,,,90.0,€
606,606,,,100.0,€
607,607,,,80.0,€
608,608,,,0.0,€
609,609,,,125.0,€
610,610,,,0.0,€
611,611,,,0.0,€
612,612,,,400.0,€
613,613,,,60.0,€
614,614,,,0.0,€
615,615,,,0.0,€
616,616,,,60.0,€
617,617,,,96.0,€
618,618,,,140.0,€
619,619,,,70.0,€
620,620,,,95.0,€
621,621,,,260.0,€
622,622,,,0.0,€
623,623,,,100.0,€
624,624,,,70.0,€
625,625,,,140.0,€
626,626,,,36.0,€
627,627,,,36.0,€
628,628,,,0.0,€
629,629,,,80.0,€
630,630,,,0.0,€
631,631,,,0.0,€
632,632,,,0.0,€
633,633,,,0.0,€
634,634,,,0.0,€
635,635,,,60.0,€
636,636,,,0.0,€
637,637,,,40.0,€
638,638,,,80.0,€
639,639,,,100.0,€
640,640,,,45.0,€
641,641,,,0.0,€
642,642,,,0.0,€
643,643,,,0.0,€
644,644,,,0.0,€
645,645,,,0.0,€
646,646,,,70.0,€
647,647,,,12.0,€
648,648,,,11.0,€
649,649,,,13.0,€
650,650,,,13.5,€
651,651,,,36.0,€
652,652,,,520.0,€
653,653,,,100.0,€
654,654,,,0.0,€
655,655,,,145.0,€
656,656,,,120.0,€
657,657,,,130.0,€
658,658,,,155.0,€
659,659,,,0.0,€
660,660,,,150.0,€
661,661,,,110.0,€
662,662,,,0.0,€
663,663,,,80.0,€
664,664,,,100.0,€
665,665,,,140.0,€
666,666,,,140.0,€
667,667,,,150.0,€
668,668,,,25.0,€
669,669,,,90.0,€
670,670,,,150.0,€
671,671,,,130.0,€
672,672,,,202.0,€
673,673,,,140.0,€
674,674,,,85.0,€
675,675,,,120.0,€
676,676,,,159.0,€
677,677,,,125.0,€
678,678,,,116.0,€
679,679,,,200.0,€
680,680,,,112.5,€
681,681,,,38.0,€
682,682,,,155.0,€
683,683,,,68.0,€
684,684,,,46.0,€
685,685,,,0.0,€
686,686,,,0.0,€
687,687,,,60.0,€
688,688,,,600.0,€
689,689,,,160.0,€
690,690,,,60.0,€
691,691,,,75.0,€
692,692,,,74.0,€
693,693,,,60.0,€
694,694,,,0.0,€
695,695,,,0.0,€
696,696,,,60.0,€
697,697,,,0.0,€
698,698,,,90.0,€
699,699,,,0.0,€
700,700,,,0.0,€
701,701,,,60.0,€
702,702,,,0.0,€
703,703,,,105.0,€
704,704,,,0.0,€
705,705,,,0.0,€
706,706,,,70.0,€
707,707,,,0.0,€
708,708,,,0.0,€
709,709,,,70.0,€
710,710,,,0.0,€
711,711,,,0.0,€
712,712,,,0.0,€
713,713,,,70.0,€
714,714,,,0.0,€
715,715,,,100.0,€
716,716,,,0.0,€
717,717,,,95.0,€
718,718,,,120.0,€
719,719,,,75.0,€
720,720,,,0.0,€
721,721,,,24.0,€
722,722,,,80.0,€
723,723,,,80.0,€
724,724,,,0.0,€
725,725,,,27.5,€
726,726,,,45.0,€
727,727,,,100.0,€
728,728,,,100.0,€
729,729,,,25.0,€
730,730,,,80.0,€
731,731,,,0.0,€
732,732,,,85.0,€
733,733,,,0.0,€
734,734,,,70.0,€
735,735,,,35.0,€
736,736,,,110.0,€
737,737,,,13.0,€
738,738,,,220.0,€
739,739,,,78.57,€
740,740,,,0.0,€
741,741,,,0.0,€
742,742,,,0.0,€
743,743,,,0.0,€
744,744,,,0.0,€
745,745,,,60.0,€
746,746,,,30.0,€
747,747,,,44.0,€
748,748,,,27.0,€
749,749,,,27.0,€
750,750,,,0.0,€
751,751,,,0.0,€
752,752,,,0.0,€
753,753,,,0.0,€
754,754,,,100.0,€
755,755,,,100.0,€
756,756,,,180.0,€
757,757,,,180.0,€
758,758,,,0.0,€
759,759,,,0.0,€
760,760,,,0.0,€
761,761,,,0.0,€
762,762,,,0.0,€
763,763,,,90.0,€
764,764,,,403.0,€
765,765,,,0.0,€
766,766,,,0.0,€
767,767,,,0.0,€
768,768,,,54.0,€
769,769,,,0.0,€
770,770,,,0.0,€
771,771,,,125.0,€
772,772,,,75.0,€
773,773,,,500.0,€
774,774,,,130.0,€
775,775,,,0.0,€
776,776,,,64.0,€
777,777,,,1200.0,€
778,778,,,60.0,€
779,779,,,0.0,€
780,780,,,0.0,€
781,781,,,100.0,€
782,782,,,96.0,€
783,783,,,0.0,€
784,784,,,90.0,€
785,785,,,70.0,€
786,786,,,0.0,€
787,787,,,12.0,€
788,788,,,70.0,€
789,789,,,130.0,€
790,790,,,105.0,€
791,791,,,0.0,€
792,792,,,0.0,€
793,793,,,180.0,€
794,794,,,40.0,€
795,795,,,100.0,€
796,796,,,0.0,€
797,797,,,90.0,€
798,798,,,100.0,€
799,799,,,80.0,€
800,800,,,0.0,€
801,801,,,0.0,€
802,802,,,40.0,€
803,803,,,195.71,€
804,804,,,230.0,€
805,805,,,0.0,€
806,806,,,35.0,€
807,807,,,30.0,€
808,808,,,500.0,€
809,809,,,84.0,€
810,810,,,0.0,€
811,811,,,60.0,€
812,812,,,6.0,€
813,813,,,96.0,€
814,814,,,43.0,€
815,815,,,130.0,€
816,816,,,0.0,€
817,817,,,109.0,€
818,818,,,0.0,€
819,819,,,0.0,€
820,820,,,60.0,€
821,821,,,0.0,€
822,822,,,0.0,€
823,823,,,100.0,€
824,824,,,90.0,€
825,825,,,0.0,€
826,826,,,0.0,€
827,827,,,105.0,€
828,828,,,0.0,€
829,829,,,0.0,€
830,830,,,0.0,€
831,831,,,0.0,€
832,832,,,0.0,€
833,833,,,0.0,€
834,834,,,0.0,€
835,835,,,0.0,€
836,836,,,0.0,€
837,837,,,0.0,€
838,838,,,0.0,€
839,839,,,0.0,€
840,840,,,0.0,€
841,841,,,0.0,€
842,842,,,0.0,€
843,843,,,120.0,€
844,844,,,0.0,€
845,845,,,0.0,€
846,846,,,0.0,€
847,847,,,0.0,€
848,848,,,90.0,€
849,849,,,80.0,€
850,850,,,60.0,€
851,851,,,0.0,€
852,852,,,0.0,€
853,853,,,0.0,€
854,854,,,45.0,€
855,855,,,70.0,€
856,856,,,90.0,€
857,857,,,0.0,€
858,858,,,70.0,€
859,859,,,75.0,€
860,860,,,60.0,€
861,861,,,0.0,€
862,862,,,80.0,€
863,863,,,100.0,€
864,864,,,0.0,€
865,865,,,80.0,€
