stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1067,5090PV,Val Rosna,,46.083780,11.764430,5090
1069,5070,Ponte Oltra,,46.060534,11.763205,5070
1070,5060,Fontane di Lamon,,46.036416,11.761574,5060
1071,5050,Ponte Serra,,46.029632,11.762566,5050
1072,5040PS,Fonzaso-Pedesalto,,46.021116,11.781461,5040
1073,5040,Fonzaso,,46.016524,11.802220,5040
1074,5030,Arten,,46.008258,11.831188,5030
1075,5020,S.Lucia,,46.003159,11.840783,5020
1076,5010GZ,Feltre-Gel. La Zuecca,,46.019144,11.893487,5010
1078,5010OS,Feltre-Ospedale,,46.021853,11.908009,5010
1079,5010,Feltre-Staz. Fs,,46.012749,11.910851,5010
1080,5010RR,Feltre-Staz. Fs,,46.012491,11.910304,5010
1081,5020RR,S.Lucia,,46.003275,11.840815,5020
1082,5030RR,Arten,,46.008708,11.831534,5030
1083,5070RR,Ponte Oltra,,46.060441,11.762556,5070
1085,5111RR,Masi di Imer,,46.145367,11.786083,5111
1087,5110RR,Imer,,46.150561,11.794517,5110
1088,5130RR,Mezzano,,46.154450,11.806214,5130
1089,5130SR,Mezzano Salgetti,,46.156398,11.815198,5130
1090,5160RR,Siror,,46.186854,11.830376,5160
1091,5180RR,Impianti Tognola,,46.254564,11.800643,5180
1092,0961CR,S.Martino di C.-H.Cristallo,,46.258584,11.802600,0961
1093,5117,Canal San Bovo,,46.154983,11.733015,5117
1094,5117SP,Canal S.Bovo-Somprà,,46.159542,11.727580,5117
1095,5122,Pianazzi Bivio,,46.162105,11.722759,5117
1096,5118,Ronco Fosse,,46.153340,11.719645,5118
1097,5118CO,Ronco-Bivio Pugnai,,46.149553,11.719951,5118
1098,5119PI,Ronco-Bivio Gasperoi,,46.141878,11.717190,5119
1099,5119,Ronco Chiesa,,46.141561,11.714637,5119
1100,7016,Povo-Mesiano,,46.066119,11.142772,4005
1102,4270FS,Caldonazzo-Staz. Fs,,45.997136,11.264702,4270
1103,4300FS,Levico Terme-Staz. Fs,,46.005879,11.305009,4300
1104,4454FS,Grigno-Staz. Fs,,46.015362,11.624995,4454
1105,4457FS,Tezze-Staz. Fs,,45.991175,11.669382,4457
1106,4490FS,Primolano-Staz. Fs,,45.965663,11.701313,4490
1107,4130,Susa',,46.051111,11.223539,4130
1108,0001NO,Trento C.So Tre Novembre,,46.062416,11.123713,0001
1109,0001VV,Trento Viale Verona,,46.056378,11.128446,0001
1110,0001DI,Trento S.Bartolameo,,46.050679,11.130489,0001
1111,0001QU,Trento Viale Verona Big Center,,46.045792,11.130973,0001
1112,0001MN,Trento Man,,46.036737,11.130338,0001
1113,3010RC,Mattarello-Loc.Ronchi,,46.017259,11.132495,3010
1114,3010,Mattarello,,46.005283,11.126502,3010
1115,3020,Acquaviva,,45.990248,11.122847,3020
1116,3020SF,Acquaviva-Pizzeria,,45.980441,11.116340,3020
1117,3030NF,Besenello-Ferm. Nord,,45.945968,11.106163,3030
1118,3030,Besenello,,45.942137,11.109389,3030
1119,3030SF,Besenello-Ferm. Sud,,45.937109,11.110678,3030
1120,3040,Calliano,,45.934198,11.095733,3040
1121,3040MA,Calliano-Grafiche Manfrini,,45.928835,11.093172,3040
1122,3055,Castelpietra,,45.922315,11.091932,3055
1123,3070,Volano,,45.917920,11.063780,3070
1124,3080,S.Ilario,,45.908274,11.040552,3100
1125,3100TN,Rovereto-V.Le Trento,,45.900157,11.041998,3100
1126,3100,Rovereto-Via Manzoni,,45.892473,11.038426,3100
1128,3100HC,Rovereto-Difr.Rist.Cristina,,45.881366,11.031860,3100
1129,3290,Lizzanella,,45.875635,11.031726,3100
1130,3290BV,Lizzanella-Bar Verona,,45.872773,11.024339,3100
1131,3300SG,Centro Commerciale Millenium,,45.868786,11.014432,3100
1132,3542,Mori-Staz. Fs,,45.861909,11.000618,3542
1133,3312,Ravazzone di Mori,,45.860092,10.991291,3312
1134,3320,Molina di Mori,,45.855210,10.985631,3320
1135,3310,Mori-Bar Centrale,,45.851605,10.978781,3310
1136,3310SB,Mori-Bivio Sud,,45.853583,10.967512,3310
1137,3310FA,Mori-Difr.Discoteca Fanum,,45.855024,10.946425,3460
1138,3460,Loppio,,45.855726,10.929794,3460
1139,3465,Passo S.Giovanni,,45.873945,10.906342,3465
1140,3470,Nago,,45.878476,10.890669,3470
1141,3480,Torbole,,45.871053,10.875512,3480
1142,3482,Linfano Bivio,,45.875674,10.871454,3480
1143,0960HB,Riva V.Rovereto H.Brione,,45.879954,10.856250,0960
1144,0960HD,Riva V.Rovereto H.Du Lac,,45.883037,10.852641,0960
1145,0960CD,Riva Via D.Chiesa,,45.888706,10.846075,0960
1146,0960,Riva Del G.-Autostaz.,,45.892289,10.844892,0960
1147,0960DR,Riva D/Garda Rione Degasperi,,45.895383,10.850061,0960
1148,0960CC,Riva Del G. C.Comm. 2000,,45.896469,10.851309,0960
1149,3500,Riva Del G. S.Nazzaro,,45.899783,10.855660,0960
1150,3510,S.Tomaso-Direz. Arco,,45.902286,10.860011,3510
1151,3520AU,Arco S.Caterina Eurospar,,45.904792,10.864220,3520
1152,3520BG,Arco Bivio Sp 36 Grazie,,45.906486,10.866327,3520
1153,3533,Arco Via S.Caterina,,45.912254,10.875211,3520
1154,3520,Arco-Autostaz.,,45.916113,10.883001,3520
1155,3520LR,Arco Piazza Italia,,45.919566,10.891333,3520
1156,3529,Caneve,,45.916735,10.892204,3520
1157,3531,Bolognano Bivio,,45.910903,10.900309,3520
1158,3530,Bolognano,,45.912063,10.901986,3520
1159,3530VA,Bolognano Via Asilo,,45.914058,10.902196,3520
1160,3540,Massone Case Itea,,45.921813,10.899108,3520
1161,3540SE,Massone,,45.924014,10.898306,3520
1162,3540SM,S.Martino di Arco,,45.924460,10.894775,3520
1163,3520SV,Arco Svizzera,,45.921461,10.891616,3520
1165,3520AR,Arco S.Caterina Eurospar,,45.904663,10.863891,3520
1166,3510RR,S.Tomaso-Direz. Riva,,45.902908,10.861114,3510
1167,3500RR,Riva Del G. S.Nazzaro,,45.899422,10.855184,0960
1169,0960DG,Riva D/Garda Rione Degasperi,,45.894834,10.849462,0960
1170,0960RV,Riva D/Garda Viale Martiri,,45.887604,10.844054,0960
1171,3470RR,Nago,,45.878302,10.890542,3470
1172,3460RR,Loppio,,45.855490,10.930108,3460
1173,3310RR,Mori-Bar Centrale,,45.851608,10.978989,3310
1174,3320RR,Molina di Mori,,45.855097,10.985453,3320
1175,3312RR,Ravazzone di Mori,,45.858717,10.990649,3312
1176,3542RR,Mori-Staz. Fs,,45.861821,11.000486,3542
1177,3290BR,Lizzanella-Bar Verona,,45.872694,11.024273,3100
1178,3290RR,Lizzanella,,45.876161,11.032031,3100
1179,3100RC,Rovereto-Rist.Cristina,,45.881389,11.032067,3100
1180,3100FR,Rovereto-Staz. Fs,,45.890243,11.034030,3100
1181,3100TR,Rovereto-V.Le Trento,,45.900353,11.042123,3100
1182,3080RR,S.Ilario,,45.908367,11.040784,3100
1183,3070RR,Volano,,45.917749,11.063577,3070
1184,3040RR,Calliano,,45.934013,11.096002,3040
1185,3030RR,Besenello,,45.942592,11.108641,3030
1186,3030NR,Besenello-Ferm. Nord,,45.946015,11.106023,3030
1187,3010RR,Mattarello,,46.005251,11.126637,3010
1188,0001MR,Trento Man,,46.037835,11.130486,0001
1189,0001PC,Trento Ponte Cavaleggeri,,46.059353,11.126297,0001
1190,0001RO,Trento Via Rosmini,,46.068218,11.118796,0001
1191,5141,Tonadico-Lisiera,,46.181183,11.841123,5140
1192,5141CP,Tonadico-Centr.Castelpietra,,46.184630,11.845447,5140
1193,5154,Bivio Val Canali,,46.189613,11.861092,5154
1194,5142,Baita Del Vecio,,46.185473,11.873973,5142
1195,5143,Passo Cereda,,46.192986,11.905223,5143
1196,5144,Mis,,46.207137,11.927153,5144
1197,5144BS,Mis di Mezzo,,46.205713,11.928996,5144
1198,5144CH,Mis di Sotto,,46.203515,11.930098,5144
1199,5145,Sagron,,46.195002,11.943357,5145
1200,1221ZO,Bellamonte-Albergo Zaluna,,46.314589,11.647139,1221
1201,1221,Bellamonte,,46.312911,11.662986,1221
1202,1221HT,Bellamonte-H.Torretta,,46.311058,11.674500,1221
1203,1222,Lago Forte Buso,,46.306909,11.701286,1222
1204,1223RR,Paneveggio,,46.306445,11.738913,1223
1205,1223CF,Paneveggio Centro Forestale,,46.309541,11.748096,1223
1206,1224MJ,Bivio Malga Juribello,,46.300119,11.763517,1224
1207,1224MA,Malga Rolle,,46.295816,11.776544,1224
1208,1224,Passo Rolle,,46.296305,11.787139,1224
1209,1224SR,P.Sso Rolle-Segg. Segantini,,46.297693,11.788910,1224
1210,1224MF,P.Sso Rolle-Malga Fosse,,46.289455,11.798580,1224
1211,0961SM,S.Martino di C.-H. S.Martino,,46.266379,11.802413,0961
1212,0961CV,S.Martino di C.-Im.Col Verde,,46.264917,11.804217,0961
1213,0961BV,S.Martino di C.-H.Belvedere,,46.264314,11.801833,0961
1218,1223,Paneveggio,,46.306569,11.738984,1223
1219,1224SS,P.Sso Rolle-Segg.Segantini,,46.297923,11.789065,1224
1221,5109,Lausen,,46.150388,11.734729,5117
1224,5120BC,Caoria-Ex Bar Cauriol,,46.194858,11.680894,5120
1225,5120PV,Caoria-Ponte Valsorda,,46.197164,11.678894,5120
1226,5120,Caoria,,46.198012,11.675734,5120
1227,5109RR,Lausen,,46.149479,11.734710,5117
1229,5115,Bivio Prade,,46.151486,11.741642,5115
1230,5128,Berni,,46.156637,11.745893,5128
1231,5113,Prade,,46.157314,11.740539,5113
1232,5114,Cicona,,46.162906,11.744184,5114
1233,5116,Zortea,,46.162717,11.750159,5116
1234,5116BM,Zortea-Loc. Mureri,,46.164872,11.757456,5116
1235,5127,Barbine,,46.157837,11.754333,5127
1236,5112FM,P.Sso Gobbera-F.Mazuca,,46.150300,11.751120,5112
1237,5112,Passo Gobbera,,46.148011,11.756872,5112
1238,5112RR,Passo Gobbera,,46.147632,11.757656,5112
1239,5117RR,Canal S.Bovo,,46.154704,11.733040,5117
1240,5120PR,Caoria-Ponte Valsorda,,46.197181,11.678532,5120
1242,1070HC,Cavalese-Hotel Coronelle,,46.294815,11.454263,1070
1243,1160GI,Daiano-Parco Giochi,,46.300106,11.450123,1160
1244,1160,Daiano,,46.300879,11.447872,1160
1245,1161CA,Varena-Pizz. La Cantinetta,,46.302821,11.454024,1160
1246,1161CT,Varena Centro-Alb. Alpino,,46.303567,11.456161,1160
1247,1161,Varena,,46.305514,11.458118,1160
1248,0001SR,Trento Via Valsugana,,46.069120,11.136319,0001
1249,4080EX,Cirè-Ex Statale,,46.077706,11.205959,4080
1250,4114MP,Roveda-Maso Puech Pote,,46.074384,11.287907,4114
1251,4114MS,Roveda-Maso Sroveri,,46.069344,11.292393,4114
1252,4114,Roveda,,46.068023,11.300342,4114
1253,4114TM,Roveda-Maso Tolleri,,46.069281,11.299101,4114
1254,4114MM,Roveda-Maso Martinotti,,46.071815,11.304078,4114
1255,4114MC,Roveda-Maso Kairo,,46.071543,11.298769,4114
1256,4115MF,Kamauz-Maso Frunt,,46.073003,11.301545,4115
1257,4115,Kamauz,,46.074718,11.302164,4115
1258,4112SR,Canezza-Rist. Al Sole,,46.080110,11.275681,4112
1259,4400IT,Borgo Vals.-Case Itea,,46.058762,11.469263,4400
1260,4461,Telve,,46.070437,11.477965,4461
1261,4461BP,Telve-Panorama,,46.070379,11.483099,4461
1262,4461BU,Telve-Via S.Giustina,,46.072704,11.484442,4461
1264,4461SA,Telve-Salti,,46.073963,11.480759,4461
1265,4462,Ponte S.Giovanni,,46.075054,11.474240,4462
1266,4463,Telve di Sopra,,46.072006,11.472214,4463
1267,4465,Campestrini,,46.077688,11.456859,4465
1268,4464BV,Torcegno-Segheria,,46.074770,11.451065,4464
1269,4464,Torcegno,,46.073038,11.450420,4464
1270,4440,Ronchi Valsugana,,46.072599,11.438554,4440
1271,4440MA,Ronchi-Loc. Marchi,,46.066813,11.432584,4440
1272,4430ST,Stauda,,46.063774,11.429672,4430
1273,4430,Montebello,,46.061208,11.425914,4430
1274,4422,Maso Roneri,,46.059241,11.420822,4420
1275,4420,Rincheri,,46.056603,11.416641,4420
1277,4550BR,Cinte Tesino Bivio,,46.067453,11.607539,4550
1457,1167,Ora-Auer,,46.348173,11.297324,1167
1458,2124,Maso Del Gobbo,,46.033816,10.947743,2124
1459,2125,Pietramurata,,46.017091,10.942043,2125
1460,2132,Isoletta,,46.009174,10.935767,2132
1461,2153MP,Marocche-Pescicoltura,,46.002236,10.926660,2153
1462,2153,Marocche,,45.998564,10.925295,2153
1463,2154,Gaggiolo,,45.993529,10.926561,2154
1464,2129,Centrale Fies,,45.986449,10.926882,2129
1465,2127AG,Dro-Al Lago,,45.982597,10.925059,2129
1466,2127IT,Dro Itea,,45.962453,10.915978,2127
1467,2127,Dro,,45.961474,10.910726,2127
1468,2127FA,Dro-Carabinieri,,45.958516,10.906523,2127
1469,2128,Ceniga,,45.951387,10.900851,2128
1470,2128BS,Ceniga Bivio Sud,,45.946609,10.902954,2128
1471,3520MO,Arco Moletta,,45.931025,10.896185,3520
