from_stop_id,to_stop_id,transfer_type,min_transfer_time
535,533,2,0
1536,533,2,0
532,535,2,0
533,535,2,0
1536,535,2,0
542,542,1,
546,546,1,
552,548,2,0
2576,548,2,0
551,549,2,0
549,551,2,0
548,552,2,0
2576,552,2,0
565,557,2,0
564,558,2,0
6187,6187,2,0
560,560,2,0
6189,6189,2,0
6190,562,2,0
563,563,2,0
558,564,2,0
557,565,2,0
568,567,2,0
567,568,2,0
1248,578,1,
611,579,2,0
580,580,1,
610,580,2,0
1046,584,2,0
586,586,1,
587,587,1,
589,589,1,
590,590,1,
609,593,2,0
608,595,2,0
943,596,2,0
597,597,1,
598,598,1,
607,598,1,
602,602,1,
598,607,1,
607,607,1,
595,608,2,0
593,609,2,0
580,610,1,
579,611,2,0
612,612,1,
5247,612,2,0
532,613,2,0
1108,613,2,0
1109,613,2,0
1189,613,2,0
1190,613,2,0
1530,613,2,0
1531,613,2,0
5650,614,2,0
615,615,1,
616,615,2,0
2174,615,2,0
615,616,2,0
616,616,1,
2174,616,2,0
632,618,2,0
5145,619,2,0
1503,624,2,0
1502,626,2,0
6159,627,2,0
618,632,2,0
633,633,1,
636,636,1,
672,640,2,0
671,647,2,0
670,654,2,0
664,664,1,
669,664,2,0
115,667,2,0
664,669,1,
654,670,2,0
647,671,2,0
640,672,2,0
673,673,1,
1028,673,1,
4497,675,2,0
4496,676,2,0
934,682,2,0
1258,683,2,0
703,691,2,0
691,703,2,0
881,722,2,0
725,725,1,
839,725,1,
726,726,1,
727,727,1,
865,727,2,0
5018,727,2,0
6088,728,2,0
3944,6087,2,0
3971,6087,2,0
6087,6087,2,0
6086,731,2,0
6085,733,2,0
863,734,2,0
6084,735,2,0
736,736,1,
6083,736,1,
6081,737,2,0
6094,739,2,0
6093,740,2,0
861,741,2,0
742,742,1,
859,743,2,0
748,744,2,0
858,744,2,0
2806,744,2,0
857,745,2,0
6090,746,2,0
744,748,2,0
858,748,2,0
2806,748,2,0
855,749,1,
854,750,2,0
751,751,1,
6091,751,1,
853,752,2,0
851,754,2,0
850,755,2,0
868,756,2,0
757,757,1,
829,758,2,0
827,759,2,0
5965,760,2,0
826,761,2,0
5966,762,2,0
825,763,2,0
824,764,2,0
823,765,2,0
5967,766,2,0
822,767,2,0
821,768,2,0
820,769,2,0
819,770,2,0
818,771,2,0
817,772,2,0
5968,773,2,0
5970,774,2,0
5971,775,2,0
5972,776,2,0
816,777,2,0
895,778,2,0
815,779,2,0
814,780,2,0
5973,781,2,0
813,782,2,0
812,783,2,0
811,784,2,0
809,785,2,0
5976,786,2,0
5977,787,2,0
5978,788,2,0
808,789,2,0
807,790,2,0
5980,791,2,0
5981,792,2,0
795,793,2,0
798,793,2,0
5982,793,2,0
5983,794,2,0
793,795,2,0
798,795,2,0
793,798,2,0
795,798,2,0
5984,799,2,0
804,800,2,0
803,801,2,0
801,803,2,0
800,804,2,0
805,805,2,0
790,807,2,0
789,808,2,0
785,809,2,0
784,811,2,0
783,812,2,0
782,813,2,0
780,814,2,0
779,815,2,0
777,816,2,0
772,817,2,0
771,818,2,0
770,819,2,0
769,820,2,0
768,821,2,0
767,822,2,0
765,823,2,0
764,824,2,0
763,825,2,0
761,826,2,0
759,827,2,0
758,829,2,0
830,830,1,
5809,835,2,0
5808,837,2,0
725,839,1,
839,839,1,
880,846,2,0
755,850,2,0
754,851,2,0
856,852,2,0
752,853,2,0
750,854,2,0
749,855,2,0
855,855,1,
852,856,2,0
745,857,2,0
744,858,2,0
748,858,2,0
2806,858,2,0
743,859,2,0
741,861,2,0
734,863,2,0
727,865,1,
5018,865,2,0
756,868,2,0
869,869,1,
870,869,1,
869,870,1,
870,870,1,
879,874,2,0
878,878,2,0
874,879,2,0
846,880,2,0
722,881,2,0
894,884,2,0
6117,887,2,0
884,894,2,0
778,895,2,0
2150,897,2,0
905,899,2,0
899,905,2,0
906,906,1,
909,909,1,
913,913,1,
933,919,2,0
919,933,2,0
682,934,2,0
939,939,1,
940,940,1,
942,940,2,0
940,942,1,
596,943,2,0
949,947,2,0
947,949,2,0
975,975,1,
4327,977,1,
5609,977,2,0
1003,1003,1,
1021,1004,2,0
1020,1005,2,0
1019,1006,2,0
1009,1009,1,
1018,1009,2,0
1017,1010,2,0
1016,1011,2,0
1015,1014,2,0
1014,1015,2,0
1011,1016,2,0
1010,1017,2,0
1009,1018,1,
1006,1019,2,0
1005,1020,2,0
1004,1021,2,0
1026,1023,2,0
1025,1024,2,0
1024,1025,2,0
1023,1026,2,0
673,1028,1,
1028,1028,1,
1029,1029,1,
584,1046,2,0
1048,1048,1,
1092,1049,2,0
1091,1050,2,0
6057,1051,2,0
6059,1052,2,0
1090,1053,2,0
6061,1054,2,0
6062,1055,2,0
1056,1056,1,
6063,1057,2,0
6064,1058,2,0
1089,1059,2,0
1088,1060,2,0
6065,1061,2,0
1062,1062,1,
1087,1062,1,
1085,1063,2,0
6068,1064,1,
6069,1065,2,0
6070,1066,2,0
6071,1067,2,0
1083,1069,2,0
6078,1070,2,0
6072,1071,2,0
6073,1072,2,0
