service_id,date,exception_type
0000000672020091420210610,20210401,2
0000000672020091420210610,20210402,2
0000000672020091420210610,20210403,2
0000000672020091420210610,20210405,2
0000000672020091420210610,20210406,2
0000000672020091420210610,20210501,2
0000000672020091420210610,20210602,2
0000000682020091420210610,20201102,2
0000000682020091420210610,20201207,2
0000000682020091420210610,20201208,2
0000000682020091420210610,20201224,2
0000000682020091420210610,20201225,2
0000000682020091420210610,20201226,2
0000000682020091420210610,20201228,2
0000000682020091420210610,20201229,2
0000000682020091420210610,20201230,2
0000000682020091420210610,20201231,2
0000000682020091420210610,20210101,2
0000000682020091420210610,20210102,2
0000000682020091420210610,20210104,2
0000000682020091420210610,20210105,2
0000000682020091420210610,20210106,2
0000000682020091420210610,20210215,2
0000000682020091420210610,20210216,2
0000000682020091420210610,20210401,2
0000000682020091420210610,20210402,2
0000000682020091420210610,20210403,2
0000000682020091420210610,20210405,2
0000000682020091420210610,20210406,2
0000000682020091420210610,20210501,2
0000000682020091420210610,20210602,2
0000000692020091420210610,20201102,2
0000000692020091420210610,20201207,2
0000000692020091420210610,20201208,2
0000000692020091420210610,20201224,2
0000000692020091420210610,20201225,2
0000000692020091420210610,20201226,2
0000000692020091420210610,20201228,2
0000000692020091420210610,20201229,2
0000000692020091420210610,20201230,2
0000000692020091420210610,20201231,2
0000000692020091420210610,20210101,2
0000000692020091420210610,20210102,2
0000000692020091420210610,20210104,2
0000000692020091420210610,20210105,2
0000000692020091420210610,20210106,2
0000000692020091420210610,20210215,2
0000000692020091420210610,20210216,2
0000000692020091420210610,20210401,2
0000000692020091420210610,20210402,2
0000000692020091420210610,20210403,2
0000000692020091420210610,20210405,2
0000000692020091420210610,20210406,2
0000000692020091420210610,20210501,2
0000000692020091420210610,20210602,2
0000000772020091420210610,20201102,2
0000000772020091420210610,20201207,2
0000000772020091420210610,20201208,2
0000000772020091420210610,20201224,2
0000000772020091420210610,20201225,2
0000000772020091420210610,20201226,2
0000000772020091420210610,20201228,2
0000000772020091420210610,20201229,2
0000000772020091420210610,20201230,2
0000000772020091420210610,20201231,2
0000000772020091420210610,20210101,2
0000000772020091420210610,20210102,2
0000000772020091420210610,20210104,2
0000000772020091420210610,20210105,2
0000000772020091420210610,20210106,2
0000000772020091420210610,20210215,2
0000000772020091420210610,20210216,2
0000000772020091420210610,20210401,2
0000000772020091420210610,20210402,2
0000000772020091420210610,20210403,2
0000000772020091420210610,20210405,2
0000000772020091420210610,20210406,2
0000000772020091420210610,20210501,2
0000000772020091420210610,20210602,2
0000000822020091420210610,20201208,2
0000000822020091420210610,20201225,2
0000000822020091420210610,20201226,2
0000000822020091420210610,20210101,2
0000000822020091420210610,20210106,2
0000000822020091420210610,20210405,2
0000000822020091420210610,20210501,2
0000000822020091420210610,20210602,2
0000001092020091420210610,20200930,2
0000001092020091420210610,20201001,2
0000001092020091420210610,20201002,2
0000001092020091420210610,20201003,2
0000001092020091420210610,20201005,2
0000001092020091420210610,20201006,2
0000001092020091420210610,20201007,2
0000001092020091420210610,20201008,2
0000001092020091420210610,20201009,2
0000001092020091420210610,20201010,2
0000001092020091420210610,20201012,2
0000001092020091420210610,20201013,2
0000001092020091420210610,20201014,2
0000001092020091420210610,20201015,2
0000001092020091420210610,20201016,2
0000001092020091420210610,20201017,2
0000001092020091420210610,20201019,2
0000001092020091420210610,20201020,2
0000001092020091420210610,20201021,2
0000001092020091420210610,20201022,2
0000001092020091420210610,20201023,2
0000001092020091420210610,20201024,2
0000001092020091420210610,20201026,2
0000001092020091420210610,20201027,2
0000001092020091420210610,20201028,2
0000001092020091420210610,20201029,2
0000001092020091420210610,20201030,2
0000001092020091420210610,20201031,2
0000001092020091420210610,20201103,2
0000001092020091420210610,20201104,2
0000001092020091420210610,20201105,2
0000001092020091420210610,20201106,2
0000001092020091420210610,20201107,2
0000001092020091420210610,20201109,2
0000001092020091420210610,20201110,2
0000001092020091420210610,20201111,2
0000001092020091420210610,20201112,2
0000001092020091420210610,20201113,2
0000001092020091420210610,20201114,2
0000001092020091420210610,20201116,2
0000001092020091420210610,20201117,2
0000001092020091420210610,20201118,2
0000001092020091420210610,20201119,2
0000001092020091420210610,20201120,2
0000001092020091420210610,20201121,2
0000001092020091420210610,20201123,2
0000001092020091420210610,20201124,2
0000001092020091420210610,20201125,2
0000001092020091420210610,20201126,2
0000001092020091420210610,20201127,2
0000001092020091420210610,20201128,2
0000001092020091420210610,20201130,2
0000001092020091420210610,20201201,2
0000001092020091420210610,20201202,2
0000001092020091420210610,20201203,2
0000001092020091420210610,20201204,2
0000001092020091420210610,20201205,2
0000001092020091420210610,20201208,2
0000001092020091420210610,20201209,2
