route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
590,0000000662020091420210610,0003441682020091420210610,Pedersano Capolinea,1,D339_R5302e_Ritorno_PRINCIPALE_sub2,1
590,0000000662020091420210610,0003441692020091420210610,Pedersano Capolinea,1,D339_R5302e_Ritorno_PRINCIPALE_sub2,1
590,0000000662020091420210610,0003441702020091420210610,Pedersano Capolinea,1,D339_R5302e_Ritorno_PRINCIPALE_sub2,1
590,0000000662020091420210610,0003441712020091420210610,Pedersano Capolinea,1,D342_R5304b_Ritorno_sub1,1
590,0000000662020091420210610,0003441722020091420210610,Pedersano Capolinea,1,D342_R5304b_Ritorno_sub1,1
590,0000000662020091420210610,0003441732020091420210610,Pedersano Capolinea,1,D342_R5304b_Ritorno_sub1,1
590,0000000662020091420210610,0003441742020091420210610,Pedersano Capolinea,1,D342_R5304b_Ritorno_sub1,1
590,0000000662020091420210610,0003441752020091420210610,Pedersano Capolinea,1,D342_R5304b_Ritorno_sub1,1
590,0000000662020091420210610,0003441762020091420210610,Castellano Centro,1,D350_R5306c_Ritorno_sub2,1
590,0000000662020091420210610,0003441772020091420210610,Castellano Centro,1,D350_R5306c_Ritorno_sub2,1
590,0000000662020091420210610,0003441782020091420210610,Castellano Centro,1,D358_R5308a_Ritorno_sub1,1
590,0000000662020091420210610,0003441792020091420210610,Pedersano Capolinea,1,D367_R5312f_Ritorno_sub2,1
590,0000000662020091420210610,0003441802020091420210610,Pedersano Capolinea,1,D367_R5312f_Ritorno_sub2,1
590,0000000822020091420210610,0003441812020091420210610,Pedersano Capolinea,1,D367_R5312f_Ritorno_sub2,1
590,0000000822020091420210610,0003441822020091420210610,Pedersano Capolinea,1,D367_R5312f_Ritorno_sub2,1
590,0000000672020091420210610,0003441832020091420210610,Pedersano Capolinea,1,D248_N5318_Ritorno_sub2,1
590,0000000592020091420210610,0003441842020091420210610,Castellano Centro,1,D378_R5320b_Ritorno_sub1,1
590,0000000822020091420210610,0003441852020091420210610,Castellano Centro,1,D383_R5322c_Ritorno_sub2,1
590,0000000822020091420210610,0003441862020091420210610,Pedersano Capolinea,1,D433_R5344a_Ritorno_sub1,1
590,0000000822020091420210610,0003441872020091420210610,Pedersano Capolinea,1,D395_R5326b_Ritorno_sub2,1
