,FacilityID,RouteID,Province,City,Street,Number,Cap,Location
171,171,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,171
172,172,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,172
173,173,,Trento,Trento,",Mattarello",,38123,173
174,174,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38015,174
175,175,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38015,175
176,176,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38097,176
177,177,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38097,177
178,178,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,,178
179,179,,Trento,Trento,,,,179
180,180,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,,180
181,181,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,181
182,182,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,182
183,183,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38016,183
184,184,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,,184
185,185,,Trento,Trento,,,38063,185
186,186,,Trento,Trento,Pista Ciclabile Valle dell'Adige,13,38016,186
187,187,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38097,187
188,188,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38015,188
189,189,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38015,189
190,190,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,,190
191,191,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38015,191
192,192,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38015,192
193,193,,Trento,Trento,Autostrada del Brennero,,39068,193
194,194,,Trento,Trento,,,38065,194
195,195,,Trento,Trento,Lungavisio Luigi Tomasi,,38015,195
196,196,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,196
197,197,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,197
198,198,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38065,198
199,199,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,39068,199
200,200,,Trento,Trento,Via Valdiriva,,39068,200
201,201,,Trento,Trento,Etschtalradweg,,38015,201
202,202,,Trento,Trento,Via Francesco de Panizza,,38016,202
203,203,,Trento,Trento,Via Lungo Avisio,,38015,203
204,204,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38123,204
205,205,,Trento,Trento,Strada Statale della Val di Non,,38016,205
206,206,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,206
207,207,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,207
208,208,,Trento,Trento,Autostrada del Brennero,,38063,208
209,209,,Trento,Trento,Autostrada del Brennero,,38063,209
210,210,,Trento,Trento,Autostrada del Brennero,,38063,210
211,211,,Trento,Trento,Autostrada del Brennero,,38063,211
212,212,,Trento,Trento,Autostrada del Brennero,,38063,212
213,213,,Trento,Trento,Via 27 Maggio,,38063,213
214,214,,Trento,Trento,Pista ciclopedonabile del Primiero,,38054,214
215,215,,Trento,Trento,SS50,,38054,215
216,216,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38033,216
217,217,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38033,217
218,218,,Trento,Trento,SS48,,,218
219,219,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,,219
220,220,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38033,220
221,221,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,221
222,222,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,222
223,223,,Trento,Trento,Strada Jumela,,38036,223
224,224,,Trento,Trento,Sentiero,,38037,224
225,225,,Trento,Trento,Via Quirino Prada,,38033,225
226,226,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,,226
227,227,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,227
228,228,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,228
229,229,,Trento,Trento,Pista ciclabile,,38036,229
230,230,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,230
231,231,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38037,231
232,232,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,,232
233,233,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,233
234,234,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38033,234
235,235,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38033,235
236,236,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,236
237,237,,Trento,Trento,Pista Ciclabile Val di Fiemme e Fassa,,38038,237
238,238,,Trento,Trento,Via Tonai,,38079,238
239,239,,Trento,Trento,,,38079,239
240,240,,Trento,Trento,,,38080,240
241,241,,Trento,Trento,,,38080,241
242,242,,Trento,Trento,,,,242
243,243,,Trento,Trento,,,,243
244,244,,Trento,Trento,Via da O,,38088,244
245,245,,Trento,Trento,SP34,,38979,245
246,246,,Trento,Trento,SP34,,38979,246
247,247,,Trento,Trento,,,38979,247
248,248,,Trento,Trento,,,38080,248
249,249,,Trento,Trento,,,38088,249
250,250,,Trento,Trento,SP236,,38088,250
251,251,,Trento,Trento,,,38088,251
252,252,,Trento,Trento,Via Pineta,,38080,252
253,253,,Trento,Trento,Via Pineta,,38080,253
254,254,,Trento,Trento,Via al Sarca,15,38080,254
255,255,,Trento,Trento,,,38080,255
256,256,,Trento,Trento,,,38080,256
257,257,,Trento,Trento,SP34,,38979,257
258,258,,Trento,Trento,,,38086,258
259,259,,Trento,Trento,,,38080,259
260,260,,Trento,Trento,Via dei Pini,,38080,260
261,261,,Trento,Trento,Via Ponte,,38080,261
262,262,,Trento,Trento,SP34,,38979,262
263,263,,Trento,Trento,Via Nazionale,,38979,263
264,264,,Trento,Trento,,,38088,264
265,265,,Trento,Trento,SS239,,38088,265
266,266,,Trento,Trento,SS237,,38079,266
267,267,,Trento,Trento,Via ierta,1,38080,267
268,268,,Trento,Trento,SS239,,38088,268
269,269,,Trento,Trento,SP53,,38088,269
